"","GC124724","GC124725","GC124726","GC124727","GC124728","GC124729","GC124730","GC124731","GC124732","GC124733","GC124734","GC124735","GC124736","GC124737","GC124738"
"BT_1074",79,66,70.001,5995.987,6441.32,4649.559,2307.334,4420.669,2892.823,1414.517,878.559,1672.072,7891.792,3321.38,4366.965
"BT_1075",293,290,237,915.083,738.179,635.963,239.704,456.761,266.918,70.097,35,25,719.774,326.226,277.473
"BT_1076",419,374,349.011,3910,4581,3141,878.296,569.196,467.082,100.757,43,73,706.226,366.774,343.527
"BT_1077",5064,6371.414,6225.593,6315.97,5613,4309,2281,3822,2359,192,69,66,621,305,400
"BT_1078",1450,1303.586,1058,25507.691,20481,17631,10881,13210,11263,93,57,31,866,422,476
"BT_1079",1033.174,1123.112,1174.491,244.161,263,134,51,130.454,64.438,10,3,55,14,0,0
"BT_1080",635.826,859.123,907.833,176.839,202,180,106,158.546,94.562,22,0,0,1,0,0
"BT_1081",12427,15455.763,16170.676,5516,5106,3773,571,444,343,39,13,39,64,38,47
"BT_1082",3731,4614.155,4237,2462,3029,2062,276,297,166,0,51,25,377,186,171
"BT_1083",1167,1522.709,1331.706,1153,986,843,639,705,481,37,11,48,229,89,142
"BT_1084",755,848.256,788.294,448,366,212,155,514,215,6,3,7,255,131,81
"BT_1085",13706,13330.824,12196.952,34867.865,31311.74,30165.852,1989,2196.796,2055,255,108,166,1430,771,939
"BT_1086",40428.869,55262.31,56564.093,43434.466,46786.345,33323.086,11440,9791.808,7780,1954,1433,1637,951,472,913
"BT_1087",10275.092,14379.065,14769.245,9904.415,11976.423,8871.1,497.743,496.396,368,48,68,64,84,64,121
"BT_1088",14846.038,19527.259,21174.796,21490.816,24889.989,18571.813,10972.257,13810,7975,1384,818,1185,616,279,460
"BT_1089",1411,3277.431,3061,5198,4053,2737,899,629,704,39,43,35,64,45,101
"BT_1090",4603,4953,4961,2962,2808,2000,615,963,524,14,11,0,92,47,87
"BT_1091",41964,66941.498,69155.086,347396.938,396626.642,300559.872,73400,82576,56554,8138,4905,6436,2901,1814,2388
"BT_1092",70,79,150.945,19,17,8,51,11,94,19,0,18,26,7,12
"BT_1093",8427,10203,10755.917,3799.027,3505,3338,559,1447,778,129,115,94,308,144,167
"BT_1094",44,37,16,253,162,126,15,24,0,0,0,0,1,0,0
"BT_1095",39,48,20.736,115.013,103,80,6,26,0,25,0,0,2,4,12
"BT_1096",31,46,40.264,43.987,58,24,15,30,22,0,8,0,5,1,0
"BT_1097",48,33,29,63,50,40,30,38,23,0,0,0,0,7,0
"BT_1098",424,444,334.487,863.159,845.856,675,137,249.455,196.115,42.147,53,43,165,58,81
"BT_1099",314,411.134,496.513,1281.516,1471.144,1181.336,409,808.947,335.174,211.853,220,174,287.512,103,118
"BT_1100",8718,10276.866,10783.031,31122.922,34190.829,25073.664,3099,4221.25,2499.711,1718,900,1336,1288.488,676,834
"BT_1101",5786.494,6309.003,6668.614,24555.49,26815.953,19538.21,3685.245,4726.734,3407.936,2438.607,1954,2133.931,1973.753,1039.001,1302.177
"BT_1102",1739.506,2942.017,3258.386,5845.077,6825.164,4743.79,2162.714,3578.583,2953.212,870.393,835,851.069,2103.247,931.999,1222.823
"BT_1103",69,160,121,2342.463,1884,1135.49,1827.388,2814.694,1822.333,285.147,325.987,299.516,1504.308,772.367,1043.089
"BT_1104",170,370,360.396,1137.895,1326,866.51,5568.809,6400.858,4241.783,1618.853,1131.45,1437.484,3825.01,2160.338,2279.911
"BT_1105",1544,2275.251,2745.179,9171.647,13049.553,9877.438,12638.77,18437.919,12490.92,5862.734,4130.455,5133,8349.397,4167.06,5099.031
"BT_1106",14392,19023.751,20078.769,81974.793,94177.711,66078.211,175941.137,103223.997,90540.439,13251.158,12154.108,12338,19094.847,10094.251,13406.963
"BT_1107",118,314,352,1512.852,1551.424,1060.351,13046.314,20313.001,13951.992,531.599,343.759,584.674,5189.261,2528.075,3162.227
"BT_1108",375.258,430.841,431.407,2315.773,2351.403,1916.478,45839.438,67098.959,49756.448,2334.509,1761.241,2298.326,9586.177,4267.909,4923.778
"BT_1109",461.742,552.159,566.593,1137.482,1020.343,792.522,73.119,163.606,140.938,13,0,0,17,0,9.528
"BT_1110",1115,877,796,1965.222,1860.84,1517,28,162,27,0,0,0,0,0,2.472
"BT_1111",23,16,33,936,1038,844,6266,10354,6827,1179,998,1247,1258,801,1071
"BT_1112",0,3,4,18,13,22,3076,5379,3471,299,294,291,955,366,399
"BT_1113",105,120,158,163,218,183,140,95.782,184,34,25,46,3,7,3
"BT_1114",5741,6899,7298.659,22044.995,30300.712,20717.749,15545,5474.218,6483,850,897,765,216,120,141
