"","GC124688","GC124689","GC124690","GC124691","GC124692","GC124693","GC124694","GC124695","GC124696"
"BT_2390",1658,1610,1643.024,167,44,39,130,166,144
"BT_2391",3531,3541,3685,1845,309,275,617,467,382
"BT_2392",0,5,3,4,0,0,10,0,0
"BT_2393",69,78,79,46,0,14,13,8,15
"BT_2394",9,10,10,8,0,27,0,23,0
"BT_2395",21,21,23,12,0,0,132,0,0
"BT_2396",1701.754,1059.839,1285,587,224,161,184,701,207
"BT_2397",254.246,309.166,296.48,97,9,66,38,75,46
"BT_2400",489.002,546.151,669.861,42,5,16,9,50,36
"BT_2401",4407.658,5742.4,4974.139,94,15,55,35,137,35
"BT_2402",3371.043,3876.681,4587.369,529,39,58,208,247,526
"BT_2403",10072.266,13448.191,13399.804,3088,711,438,640,1344,1290
"BT_2404",622.566,578,647,654,208,278,42,725,356
"BT_2405",571.434,680,850.818,119,45,29,67,33,51
"BT_2406",1907.596,1937.292,1959.286,189,59,33,110,277,65
"BT_2407",1615.275,1690.708,1703.938,94,5,30,37,123,9
"BT_2408",55.129,24,46,14,0,0,0,0,14
"BT_2409",867,745,1218,8,18,0,82,22,40
"BT_2410",326.283,344.718,332.755,5,0,40,10,0,0
"BT_2411",726.343,771.803,924.104,19,17,0,24,19,34
"BT_2412",34525.003,51235.076,40807.224,1874.008,399,458,467.325,962,1612.665
"BT_2413",57327.857,50967.094,49485.638,375.992,115,92,276.675,553,352.335
"BT_2414",60774.721,38966,37650.837,1752,679,831,6054,1551,662
"BT_2415",12302.898,11869.995,11309.424,667.99,307,500,772,513,452
"BT_2416",5539.289,6642.783,6682.881,397.01,129,192,244,332,156
"BT_2417",20453.998,21178.741,23308.004,2961.355,546,398,2658,1365.916,825
"BT_2418",865.828,866.08,894.208,230.645,41,2,70,66.084,31
"BT_2419",4196.563,4897.095,4533,3853.752,1540,1632,2034,2501,3615
"BT_2420",1856.946,1938.75,1873.648,1090.5,384,269,662.86,716.965,698.675
"BT_2421",414.16,461.495,378.912,582.275,151,218,499.16,317.035,455.325
"BT_2422",287.843,250.754,191.454,398.473,113,148,659.98,198,260
"BT_2423",125,100.452,76.919,365.414,119,161,565.311,182.143,240
"BT_2424",1437.013,1008.548,1092.084,3380.847,779.459,1062,2738.192,1483.315,2699.288
"BT_2425",541.987,534,606.997,1234.739,432.541,501,1881.497,566.542,1113.712
"BT_2426",106,222.495,141.245,115,73,0,16,12,39
"BT_2429",53,40,43,106,49,21,39,9,0
"BT_2430",5456.242,5530,8114,255,67,126,60,172,95
"BT_2431",3393.155,3118,2603,953,291,293,420,726,682
"BT_2432",531.01,461,516,231,51,43,139,286,99
"BT_2433",14377.99,12590.756,10681.057,2463,1881,1721,2159,5502,2471
"BT_2434",13755.575,13107.008,14122.503,442,117,265,226,736,373
"BT_2435",522.572,318.992,464.309,55,7,0,7,40,11
"BT_2436",89,127,86,42,43,8,22,33,0
"BT_2437",56236.814,57571.461,61861.218,1034.303,472.581,412,199,690.578,457.275
"BT_2438",1189069.648,910217.179,844134.178,1948.697,1312.419,1217,3293,2169.422,992.725
"BT_2439",49221.898,45594.147,35829.205,20829,5439,5382,8983,16011,12529
"BT_2440",1378.487,1327.176,1297.892,150.377,74,18,67,86,55
"BT_2441",698.891,685.677,855.241,226.623,120,83,72,71,77
"BT_2442",87,56,83,14,2,25,37,17,0
"BT_2443",47,51,54,10,12,0,58,29,23
"BT_2444",85,79,78,35,18,16,65,21,0
"BT_2445",2,12,6,0,0,0,0,0,0
"BT_2446",627,657,589,169,36,32,88,111,167
"BT_2447",18,18,27,3,0,1,30,11,13
"BT_2448",213,238,220,20,13,11,35,26,19
"BT_2449",38,16,31,21,0,0,34,0,0
"BT_2450",9,7,9,9,0,10,26,0,13
"BT_2451",11,4,10,20,0,0,54,4,0
"BT_2452",8,9,3,3,0,0,25,0,0
"BT_2453",0,1,0,0,0,0,0,0,0
"BT_2454",3,1,1,0,0,0,0,0,0
"BT_2455",44.104,31.294,43.198,31,10,0,2,9,0
"BT_2456",170.896,110.706,149.802,17,0,0,15,11,13
"BT_2457",51,42,53,31,8,0,6,1,0
"BT_2458",1561.726,1913,1679,122,30,22,207,117,100
"BT_2459",591.277,478,476,64,27,15,48,108,37
"BT_2460",174.656,136,179.388,18,0,15,2,63,53
"BT_2461",349.344,388,427.612,630,202,149,122,149,234
"BT_2462",109,121,129.303,832,342,231,122,141,217
"BT_2463",29,21,27.697,16,6,0,17,11,0
"BT_2464",19,10,10,3,0,0,0,0,9
"BT_2465",209,237,203,240,167,32,131,255,106
"BT_2466",366,227,282,14,20,0,346,3,10
"BT_2467",6,7,4,34,0,0,7,0,0
"BT_2468",16,12,9,8,0,0,0,0,0
"BT_2469",0,0,0,0,0,0,0,0,0
"BT_2470",0,0,0,0,0,0,0,12,0
"BT_2471",0,2,9,0,0,0,0,0,0
"BT_2472",41,22,41,80,0,24,12,0,15
"BT_2473",1008.571,844.998,795.994,93,4,0,31,60,74
"BT_2474",1133.816,1227.097,1097.436,128.302,15,79,11,139,57
"BT_2475",2960.477,2530.154,2045.572,182.698,113,106,16,367,192
"BT_2476",197.46,207.654,252.045,58,28,19,8,37,8
"BT_2477",282.792,325.406,435.311,62,52,0,22,17,0
"BT_2478",2102.722,2075.94,1801.908,34,4,64,18,95,30
"BT_2479",909.788,1379.664,1185.622,178,87,63,2,117,187
"BT_2480",411.647,550.336,587.114,87,30,74,0,32,20
"BT_2481",55.844,61,49,10,5,0,0,0,0
"BT_2482",229,176,184,15,15,0,1,49,0
"BT_2483",8,12,7,0,0,0,1,0,0
"BT_2484",1398,2092,1471,748,258,169,132,115,151
"BT_2485",35,23,19,11,0,0,35,0,0
"BT_2486",877,839,825,366,145,96,1465.02,332,186
"BT_2487",0,0,4,3,0,0,0,0,0
"BT_2488",2280,2121,2242,967,457,227,201,248,218
"BT_2489",21843.858,21744.993,25322.543,681,178,266,1236.043,893,875
"BT_2490",17,23,11,74,46,21,106,183,121
"BT_2491",291.092,496.044,545.521,411.606,223,92,305,134,91
"BT_2492",541.908,584.265,801.479,245.394,280,91,93,211,14
"BT_2493",5820.054,8353,8342,2907,1605,1221,907,993,1339
"BT_2494",10738.832,10892.05,12624.392,2401,1322,587,308,674,420
"BT_2495",4628.407,5603.429,6571.437,169,63,64,175.165,147,36.766
"BT_2496",14020.894,12449.175,14328.586,633,246,218,177.835,792,588.234
"BT_2497",2846.461,3089.491,3687.425,109.698,93,33,97,25,54
"BT_2498",7802.881,6427.748,5223.343,501.302,164,130,294,408,262
"BT_2499",3448,3302,4271.007,195,69,61,71,128,130
"BT_2500",13784.885,10709,12125.182,10693,5395,3389,17283,34344,11395
"BT_2501",315,275,330,48,0,8,16,37,64
"BT_2502",7032.03,8193.885,6951.919,454,86,31,127,128,245
"BT_2503",418.047,659.315,633.9,169.243,100,77,33,105,36
"BT_2504",429.241,448.473,414.203,70.757,35,20,70,10,0
"BT_2505",1704.68,2187.327,2236.979,1077,405,164,156,312,230
"BT_2506",140,112,121.89,235.448,123,45,356,81,95
"BT_2507",34,45,44.11,178.552,76,15,483,66,111
"BT_2508",17,35,25,63,16,28,90,37,12
"BT_2509",21,11,4,58,0,0,97,16,26
"BT_2510",148504.923,139900.383,156048.008,9730,6148,4949,5047,4898,3489
"BT_2511",137.336,152.31,146.3,233.399,22,35,269,130,79
"BT_2512",2827.743,3278.69,3048.298,1387.601,471,413,652,1085,475
"BT_2513",5785,5095.912,3963,1024,560,611,1192,1066,884
"BT_2514",1,0,0,0,0,0,0,0,0
"BT_2515",75,105,49,82,31,77,11,22,18
"BT_2516",78,65,71,4,0,0,56,0,22
"BT_2517",30288.837,33591.049,28368.112,1679,513,588,469.295,1234,939
"BT_2518",1910.365,1621.182,1937.808,65,18,34,69.705,75,81
"BT_2519",1384.67,1083.682,1137.566,60,10,57,44,36,17.638
"BT_2520",1407.665,1617.786,1479.867,83,68,57,80,47,82.362
"BT_2521",13536.331,13675.597,14563.646,2818,1249,1173,641,5160,2967
"BT_2522",9994,10600,9748,3714,1135,1301,1131,2874,2557
"BT_2523",2205,1971,2048.631,821,285,166,1016,1617,766
"BT_2524",402,374,443.369,54,26,41,23,195,27
"BT_2525",156,104,164,5,18,0,1,31,0
"BT_2526",5615.453,5197,4851.27,551,182,230,1399,356,174
"BT_2527",14831,16084.959,16398.207,1750,707,449,1731,861,671
"BT_2528",2839,2126,2381.211,273,132,59,163,126,174
"BT_2529",5,8,6,0,0,0,0,22,0
"BT_2530",299,185,245,27,0,0,9,6,0
"BT_2531",72,78,48,15,9,0,3,15,0
"BT_2532",93,88,78.003,8,0,36,12,56,17
"BT_2533",6,2,4.997,18,0,0,0,6,0
"BT_2534",591,471,485,225,14,15,69,20,74
"BT_2535",38,8,27,18,9,0,45,76,44
"BT_2536",6,4,4,10,4,10,2,0,1
"BT_2537",573,633,474.063,118,26,116,33,43,52
"BT_2538",276,202,250,180,60,60,246,92,118
"BT_2539",55672.558,34448,35256.732,893,719,767,2247,1784,508
"BT_2540",969,872,990,198,33,42,158,118,104
"BT_2541",24438.799,23324.649,22359.084,780.382,417.732,207,513.358,785.616,516.931
"BT_2542",3465.86,3338.052,2915.255,358.618,104.268,62,183.642,340.384,306.069
"BT_2543",4198.371,3253.543,3616.053,96,51,51,52,173,18
"BT_2544",1187.441,1295.852,1544.717,38,7,37,25,90,33
"BT_2545",6807.73,6959.046,7035.13,840,325,385,284,885,229
"BT_2546",51.19,56.102,47.153,0,0,0,9,0,20
"BT_2547",938.679,1004.466,774.593,62,129,33,87,40,56
"BT_2548",6986.279,7617.863,6377.407,1340,367,308,341,781,654
"BT_2549",1098.029,1287,988,365,73,90,37,120,94
"BT_2550",30393.145,24392,22297,3070,1999,1378,2404,1445,850
"BT_2551",774.607,726,908.287,842,366,439,197,550,616.262
"BT_2552",883.393,679,727.713,558,304,294,401,1048,547.738
"BT_2553",3199.143,3362.435,3370.187,1394.758,481,403,424.933,378,591
"BT_2554",714.889,779.677,805.99,295.242,175,80,97.067,174,93
"BT_2555",44,13,32,92,22,13,157,20,15
"BT_2558",1927.698,1496.604,2415.096,1684.13,527.085,0,482.869,848.554,337.363
"BT_2559",576.701,469,397.861,127,31,27,46,136.162,129
"BT_2560",143.299,161,145.139,279,61,63,79,212.838,66
"BT_2561",1969,1942,1543.035,1653,955,498,403,2181,816
"BT_2562",844,850,852,422,175,45,61,104,92
"BT_2563",56466.546,54354.311,54551.066,4719,2919,2040,2225,3834,1937
"BT_2564",2671,2570,3003,391,65,91,93,159,177
"BT_2565",5717.136,5073.8,5183.634,6809.982,2040,2009,8507,10078,6096.748
"BT_2566",1423.562,848.2,1109.366,115.018,43,32,611,212,91.252
"BT_2567",4117.818,3821.249,3771.834,112,16,54,102,42,1
"BT_2568",5257.182,5112.751,5414.166,56,30,33,20,51,16
"BT_2569",3943.984,3391,5497,7030,2378,1395,2758,944,1198
"BT_2570",69818.275,83639.055,92012.719,1317.985,764,816,1101,1758,915
"BT_2571",123097.091,131619.262,131805.804,4969.015,2379,2371,8324,6531,4273
"BT_2572",2302,2849,2425,55,27,38,118,104,71
"BT_2573",72097.986,92314.037,85359,782,422,416,241,456,531
"BT_2574",912,1171,1068,431,237,116,279,135,92
"BT_2575",49.688,35,35,2,0,1,7,16,12
"BT_2576",112.312,98,107,89,4,0,110,32,28
"BT_2577",3394.827,3287.412,3900.507,688.002,176,157,931.134,590,451
"BT_2578",1084.346,1129.588,1488.898,316.998,212,169,352.866,145,105
"BT_2579",471,572,711,161,117,101,72,46,50
"BT_2580",2,2,1,0,0,0,0,0,0
"BT_2581",0,0,1,0,0,0,0,0,0
"BT_2582",2,0,0,0,0,0,0,0,0
"BT_2583",13.714,13,5,1,0,0,2,0,0
"BT_2584",2.286,1,0,10,0,0,4,0,0
"BT_2585",0,0,0,0,0,0,0,0,0
"BT_2586",1,1,1,0,0,0,0,0,0
"BT_2587",1,0,3,0,0,0,0,44,0
"BT_2588",22,40,20,13,8,30,26,0,0
"BT_2589",11,9,13,17,0,0,0,0,0
"BT_2590",73,71,100,11,0,0,9,24,0
"BT_2591",115,92,79,60,0,0,39,33,51
"BT_2592",10,7,4,0,0,0,6,15,0
"BT_2593",26,10,24,16,7,22,8,0,0
"BT_2594",22,31,7,12,19,0,7,37,30
"BT_2595",29,37,24,44,4,5,37,76.413,40
"BT_2596",34,28,23,20,9,5,2,23.587,16
"BT_2597",5.99,1,4,0,0,0,0,0,0
"BT_2598",8.01,12,6,0,0,0,0,0,0
"BT_2599",361,497,308.741,353.527,242,78,179,155.092,95
"BT_2600",62,41,26.259,17.473,6,0,6,7.908,4.927
"BT_2601",19,21,7,0,0,21,1,0,12.073
"BT_2602",183,244,324,72,39,18,212,133,96
"BT_2603",863,750,607,96,50,23,80,40,32
"BT_2604",10,0,12,9,7,0,0,7,0
"BT_2605",3,2,0,0,0,0,0,0,0
"BT_2606",1076,892,839,168,108,60,139,132,132
"BT_2607",552,497,510,64,12,0,8,4,18
"BT_2608",7,7,13,7,0,0,11,14,0
"BT_2609",54,26,25,29,8,0,19,23,0
"BT_2610",0,0,0,6,0,0,0,0,0
"BT_2611",0,0,0,0,0,0,0,0,0
"BT_2612",0,0,0,0,0,0,0,0,0
"BT_2613",2,0,10,10,0,0,4,27,0
"BT_2614",20,14,20,0,0,0,7,1,0
"BT_2615",278,205,185,91,91,31,45,150,75
"BT_2616",0,0,0,0,0,0,0,0,0
"BT_2617",75,83,127,51,21,0,42,0,0
"BT_2618",419,504,422,41,28,8,23,9,43
"BT_2619",466,514,464,55.507,9,15,38,103,41
"BT_2620",146,166,177,55,0,38,56,48,23
"BT_2621",160.548,183.247,177.795,89.928,6,12,131,79,24
"BT_2622",464.452,559.753,514.205,170.072,8,12,170,83,59
"BT_2623",458.704,542,527.823,489,65,111,342.017,170,137
"BT_2624",91.067,80.999,121.688,49,13,19,109.983,15,0
"BT_2625",218.229,193.001,237.489,122,8,0,69,48,75
"BT_2626",180,154,179,247,49,17,120,111,20
"BT_2627",743,518,460,609,146,50,243,107,86
"BT_2628",366,393,418,154,117,35,104,440,134
"BT_2629",484,394,542,63.075,138,57,5,295,98
"BT_2630",1083,704,788.005,30,43,0,79,205,104
"BT_2631",840.023,511,554.995,123,49,54,89,175,41
"BT_2632",25,16,43,11,0,0,10,14,16
"BT_2633",1,0,0,0,0,0,0,0,15
"BT_2634",17,15.007,12,6,0,0,8,0,0
"BT_2635",1,4.993,3,0,0,0,11,0,0
"BT_2636",1,0,0,0,0,0,0,0,0
"BT_2637",0,0,1,0,0,12,0,0,0
"BT_2638",0,0,0,0,0,0,0,0,0
"BT_2639",10,20,14,39,18,0,0,14,0
"BT_2640",0,0,0,5,0,0,0,0,0
"BT_2641",0,0,0,0,0,0,0,0,0
"BT_2642",52,61,50,20,0,34,0,9,12
"BT_2643",4,5,10,0,0,0,9,0,10
"BT_2644",77,46,45,30,11,0,4,33,28
"BT_2645",0,0,6,4,0,0,0,0,0
"BT_2646",0,0,0,0,0,0,0,0,0
"BT_2647",89.183,78,79,21,10,0,0,13,0
"BT_2648",85.817,61.79,84,3,0,10,0,11,0
"BT_2649",17,6,7,32,0,0,8,55,17
"BT_2650",4023,3837,2983,3895,630,544,1249,3317,3310
"BT_2651",6,7,2,0,0,0,0,0,0
"BT_2652",0,0,3,0,7,0,0,0,0
"BT_2653",3,9,4,0,0,0,17,0,0
"BT_2654",2425,1583,2716,53,80,23,425,179,95
"BT_2655",78.45,75,86,74,43,34,77,25,19
"BT_2656",16.55,49.656,20.134,35,0,0,13,10,23
"BT_2657",71.073,56.344,82.866,20.908,0,5,7,16,25
"BT_2658",49.927,58,58,48.092,4,10,68,43,30
"BT_2659",34,33,26,40,9,23,28,0,0
"BT_2660",19,19,29,71,22,10,19,35,30
"BT_2661",2,3,2,7,0,0,0,0,0
"BT_2662",1527,1278,1333,282,119,102,128,508,273
"BT_2663",1238,1335.207,1458.682,491,243,243,1041,255,461
"BT_2664",3228.037,3305.284,2785.665,1840.432,524,446,1616.225,1727.683,1597.93
"BT_2665",598.543,626.508,719.291,400.54,96,111.006,293.775,339.724,143.07
"BT_2666",448.422,441.044,473.801,213.028,43,34.994,262,99.593,107
"BT_2667",725.619,656.41,778.857,363.577,89,126,200,244,312.49
"BT_2668",849.38,921.553,984.689,334.423,146,185,148,179,184.51
"BT_2669",2295,1309.438,1429,835,308,176,904,191,113
"BT_2671",88,156,91,32,11,0,6,11,0
"BT_2675",609,524,507,60,14,22,21,16,1
"BT_2676",356.97,418,285.682,137.256,35,57,326.063,120,107
"BT_2676a",94.03,94,85.32,57.744,23,14,39.937,0,0
"BT_2677",0,0,0,0,0,0,0,0,0
"BT_2678",537833.36,533754.444,303238.616,56667,63151,56204,20087,58031,31146
"BT_2679",12670.983,12804.155,13708.396,5421,1364,1239,758,4959,3977
"BT_2680",683,498,594,75,40,0,28,19,28
"BT_2681",2402.679,2740.887,2581.536,143.004,23,62,51,61,69
"BT_2682",12965.477,10691.682,10651.536,400.996,254,70,1099,638,187
"BT_2683",26340.108,27729.863,22896.77,5027,759,740,385,2277,3264
"BT_2684",0,0,0,0,0,0,0,0,0
"BT_2685",12560.565,9326.44,8843.246,144.287,74,97,522,270,152.956
"BT_2686",18760.755,22781.428,18727.696,1221.713,479,411,642.984,963,848.044
"BT_2687",6723.467,5138.517,5031.562,459,225,248,175,456,312
"BT_2688",6297.65,5333.528,5489.732,1366.418,610,600,1032,1635,1025
"BT_2689",900.35,1117.472,1177.943,384.582,75,68,73,91,71
"BT_2690",49.438,54,46.002,366.223,132,50,61.378,319.783,208.218
"BT_2691",22.822,42,16.998,84.777,77.947,20.01,56.622,65.217,36.782
"BT_2692",243.739,221,204,1081.16,398.053,288.99,419,1087,1275.595
"BT_2693",79,60,92,1630.62,682,936.719,554,1609,1351.405
"BT_2694",950.017,999.507,950.015,7681.428,3531,2648.281,1961.769,5915,4218
"BT_2695",5161.017,5411.672,5622.985,8078.791,3446,2683,821.231,2873,2736
"BT_2696",0,0,0,0,0,0,0,0,0
"BT_2697",1844,1333,1479,99,39,21,60,56,0
"BT_2698",458.102,412.357,530.202,111.011,91,92,944.779,58,78
"BT_2699",45052.189,35466.643,38077.898,3263.989,704,604,648.221,548,253
"BT_2700",5275.102,6316.398,6995.591,334.533,184,179,595.337,509.024,260
"BT_2701",6437.083,7271.979,9110.127,1057.408,468,420,1080.598,824.538,489
"BT_2702",2714.923,2555.17,3840.181,403.058,189,164,472.065,521.438,153
"BT_2703",1993.939,2104.38,2378.455,232.999,176.561,129,120.973,174.479,111
"BT_2704",1777.591,2098.096,2093.699,869.001,328.439,395,631.027,437.521,313
"BT_2705",175.372,191.719,340.143,149,31,26,64,142,14
"BT_2706",1631.294,2095.815,2620.702,523,182,221,215.009,706.197,542.32
"BT_2707",6038.066,5473.564,7743.757,666.865,180,371,839.481,745.598,459.717
"BT_2708",9885.393,9874.291,11262.275,1026.132,460,544,1353.413,1089.87,578.963
"BT_2709",523.151,613.81,918.282,519.928,57,174,251.097,350.015,130
"BT_2710",2853.829,3142.495,4397.3,944.075,398,420,763.234,618.321,542.862
"BT_2711",717.308,924.142,1344.981,159.569,95.352,130.433,180.125,69.942,144.848
"BT_2712",2232.23,2974.095,4298.071,1015.618,630.648,693.567,691.64,470.058,607.29
"BT_2713",1949.781,1766.486,2163.793,365.069,138.012,65,433.699,349,181
"BT_2714",15206.708,12078.233,18738.639,471.387,258.988,243,467.303,430.042,287.411
"BT_2715",1223.497,919.158,1801.446,518.873,143,242,650.999,786.958,370.772
"BT_2716",634.259,733.314,1217.142,345.012,130.911,254,192.719,178.893,246.354
"BT_2717",632.505,706.321,993.961,505.302,356.089,345.971,421.807,450.344,212.521
"BT_2718",636.552,327.562,541.724,310.72,82,129.029,297.18,368.763,144.853
"BT_2719",353.451,298.159,356.81,265.027,18.597,65.922,267.058,297.621,78.875
"BT_2720",3526.454,3292.452,4329.252,683.423,248.403,478.078,498.235,1010.379,537.215
"BT_2721",1611.697,1237.666,2309.422,713.124,348,164,410,595,426.818
"BT_2722",1195.4,1262.723,1653.578,396.876,169,184,388,302,332.182
"BT_2723",1311.919,738.478,1225.668,462.057,105.768,143.747,519.919,838.184,462.674
"BT_2724",19768.71,20895.885,23098.762,5903.641,2558.232,3431.253,2747.849,5773.126,4732.321
"BT_2725",946.972,736.407,974.757,483.301,178,119,913.095,588.915,262.006
"BT_2726",1302.139,1372.135,2266.278,518.606,179.283,291.111,276.461,447.421,372.06
"BT_2727",2663.947,3064.09,4511.071,1085.329,478.717,527.889,500.747,957.993,628.94
"BT_2728",3298.788,3029.808,3362.918,382.257,172.693,303,915.655,611.164,224.95
"BT_2729",22888.062,30195.348,34249.608,9959.581,4298.307,4490,5534.896,5801.93,6308.05
"BT_2730",828.146,769.159,1386.437,244.369,122.422,149,345.378,265.079,145
"BT_2731",1198.416,1190.561,1874.272,310.858,235.578,147,235,394.187,166
"BT_2732",28,49.041,66,87,50,11,21,0,1
"BT_2733",62998.698,79064.218,77821.036,6978.703,2248,2520,2943,5216,4978
"BT_2734",37646.678,45239.056,50823.228,3240.096,1113,1231,2295,2958.128,1907
"BT_2735",16878.965,15735.789,17273.062,545.858,370,284,1803.655,746.02,414.71
"BT_2736",5339.604,7724.558,9677.276,1260.847,576.561,485.359,1348.521,656.672,580.802
"BT_2737",10816.316,15136.248,17776.975,2519.291,981.439,1169.641,2189.327,1773.475,1713.488
"BT_2738",6302.429,6526.154,10540.489,522.002,225,239,398.497,524.704,312
"BT_2739",8206.232,10344.369,13001.963,699.203,322,487,1051,891,421
"BT_2740",100203.555,99640.318,108444.021,11253,5522,4996,3431,8256,6215
"BT_2741",1008.887,1064.426,1294.348,1824.314,1053.542,452.528,987.966,593.964,292.805
"BT_2742",37459.696,46350.103,48273.09,44211.686,27339.458,16792.472,2603.076,3739.036,3069.195
"BT_2742a",1823.785,1251.714,1786.162,428,133,30,998.958,353,211
"BT_2743",1379,1368,1599,425,178,68,233,418,228
"BT_2744",328,247,294,10,3,19,16,12,1
"BT_2745",35,33,68,191,96,10,121,24,53
"BT_2746",35,36,51,27,3,0,130,15,0
"BT_2747",1636.308,2277.404,2349.033,379.165,180,135,223.372,144.61,268
"BT_2748",23090.061,23170.605,20688.68,1633.835,559,498,1189.628,1270.39,743
"BT_2749",5311.281,4800,5427,349,79,98,80,244,106
"BT_2750",1824.453,1743,1733.836,15,0,0,0,10,45
"BT_2751",3997.972,3595.335,3645.813,339.222,129,89,96,409,202
"BT_2752",14533.628,16834.665,12667.351,2662.778,979,856,623,1331,1278
"BT_2753",58073.628,82540.568,79702.404,6847,2768,2387,3334,4817,3855
"BT_2754",2649,3021,2510,1163,401,325,232,393,459
"BT_2755",21278.736,22488.106,25356,1525,770,852,2184,1407,1142
"BT_2756",197899.255,171766.35,142560.172,24390,12485,7169,11835,4904,3611
"BT_2757",9041.871,8768.273,9407.009,99,55,54,51.905,56,118
"BT_2758",4072.944,4745.225,5957.738,130,95,54,110,195,27
"BT_2759",7423.638,8136.496,6507.073,879,548,424,1053,534,502
"BT_2760",3282.478,3175.499,3448.744,118,68,59,165,82,62
"BT_2761",1192.985,1316.021,1495.218,545.019,246,206,138,239,174
"BT_2762",33634.46,42808.809,38387.413,21329.981,18014,10303,240,3347,3298
"BT_2764",7,3,0,0,0,0,4,0,0
"BT_2765",12,15,24,60,6,46,97,18,34
"BT_2766",6,7,1,4,0,0,10,0,0
"BT_2767",14.191,16,23,21,6,0,24,0,17
"BT_2768",98.809,123.792,74,336,161,66,215,189,175
"BT_2769",107,140.208,103,66,54,45,155,9,0
"BT_2770",19,20,15,12,0,0,17,12,24
"BT_2771",164,145,168,130,68,27,79,250,35
"BT_2772",83,74,109,83,14,19,22,42,0
"BT_2773",3,6,10,5,0,0,0,0,10
"BT_2774",34,36,40,98,35,36,14,13,54
"BT_2775",3048.305,2014,2568,578,175,87,128,742,417
"BT_2776",1081.092,948.802,1001.565,287.413,54,45,91.006,282,86
"BT_2777",2543.908,2501.198,2385.435,2349.587,643,535,537.994,1219,1851
"BT_2778",9,6,9,19,0,0,8,10,0
"BT_2779",1,4,4,3,0,0,11,5,0
"BT_2780",15,7,8,3,0,0,6,0,0
"BT_2781",3360.008,3484.004,3882,1323,396,387,1021,805,641
"BT_2782",3953.523,5022.013,4259.179,960,241,248,528,490.057,460.996
"BT_2783",1788.478,2003.987,2169.821,492,95,108,78,101.943,195.004
"BT_2784",490.914,316.918,510.123,455,302.66,150,129,80.945,38
"BT_2785",550.086,429.082,484.877,273,93.34,82,105,151.055,125
"BT_2786",6935.622,4291,7434,63,56,41,995,459,122
"BT_2787",6728,10800.639,9574.012,798,263,456,321,492,350
"BT_2788",262.283,264,297.303,184,60,66,122,128.191,100
"BT_2789",494.717,521,396.697,337,75,97,259,132.809,106
"BT_2790",31552.573,36475.14,41990,9892,2940,3017,4171,3935,3106
"BT_2791",174,176,216,14,36,17,11,11,0
"BT_2792",338,384,335,119,61,30,38,70,56
"BT_2793",436,423.867,362,60,41,38,33,60,37
"BT_2794",62,67,77.206,19,12,16,28,16,0
"BT_2795",131,101,100.794,96,50,16,17,15,22
"BT_2796",4788.072,6232.297,6744.408,563,154,252,138,426,230
"BT_2797",33361.529,39608.746,30921.839,30618,11814,8961,3429,9033,7982
"BT_2798",29727.7,29069.002,25396.501,3074,819,850,1445,1101,1014
"BT_2799",3809.123,4411.431,4404.892,232,104,169,407,237,132
"BT_2800",475.563,463.829,587.397,39.83,22,13,52,73,45
"BT_2801",2879.531,2984.171,3033.603,1647.17,508,429,351,1147,1179
"BT_2802",180,89,125,43,22,8,98,41,0
"BT_2803",79,74,67.525,173.548,140,42,8,168,120
"BT_2804",69,56,54.475,61.452,17,0,24,105,78
"BT_2805",28.06,37,58.002,40,36,10,29,39,0
"BT_2806",62.94,58,71,14,0,0,12,37,0
"BT_2807",33,13,22.991,5,0,0,29,31,18
"BT_2808",20,20,16.009,11,3,0,23,0.993,25
"BT_2809",133,111,84,34,0,0,13,41.007,11
"BT_2810",2115.001,2106,2359.242,257,108,113,228,226,169
"BT_2811",12126.534,11126.032,11458.758,376,78,143,207,568,296
"BT_2812",24340.883,21139.803,21964.92,306,251,157,290,590,236
"BT_2813",50,62,56,29,0,9,0,12,14
"BT_2814",19,21,2,31,6,19,16,37,0
"BT_2815",3843.213,4056,3132,331,137,90,267,280,178
"BT_2816",11002.762,11482.302,13185.644,528,324,227,551,843,471
"BT_2817",3665.233,3295.957,4276.437,107,47,64,190,169,133
"BT_2818",1605,1006,1205.912,63,7,27,49,180,49
"BT_2819",159,124,142.275,37,16,11,7,71,43
"BT_2820",533,460,463.813,37,24,24,17,200,33
"BT_2821",137,115,133,6,14,23,14,22,0
"BT_2822",133.972,101,109.62,19,12,0,0,161,42
"BT_2823",508.028,445,409.38,140,82,33,14,277,84
"BT_2824",85,38,50,24,10,10,45,77,47
"BT_2825",21,12,7,7,0,17,0,0,0
"BT_2826",3496,3313,2940,456,87,137,224,364,160
"BT_2827",22334.438,21198,22817,2103,781,637,2026,1706,1416
"BT_2828",376,317,389,166,30,9,193,56,81
"BT_2829",12675.234,13498.379,11818.796,1284,563,575,694,985,1027
"BT_2830",10011.801,7226.751,9017,1835,799,804,5103,2116,1215
"BT_2831",1071.244,1235.506,1502.866,63,14,11,80,87,22
"BT_2832",1865.456,1919.612,2210.256,53,7,34,44,65.979,47
"BT_2833",679.06,499.368,1024.371,12,29,8,15,1.024,0
"BT_2834",5509.234,5983.662,6405.508,925,596,557,1106,2361.997,1975
"BT_2835",28001.165,29360,30600.536,1233,496,651,587,799,507
"BT_2836",14311.251,13984.329,14191.125,355,167,123,204,355,260
"BT_2837",7499.467,9118.767,9156.199,176,79,189,71,87,175
