,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_0657,16197,16485.758,14754.527,19430,15790,18952,2941,3320,2295,39189.539,44306.557,32635.157,10907,3180,2427,2226,7897,5461,27129,14659,24867.369,53714,56633.552,51208.969,13925,13187,14779,2708,3112,3027,358,2109,934,18404.996,27169.08,28322.713,26720,28109,20771,16691,16925,11487,1993,1302,1363,644,308,606
BT_0658,10954.857,12636.779,10032.002,12260,9131,13080,988,1205,907,21107.083,26443,20096,5906,1958,1972,480,7724,5709,17943,10197,20291.23,66888,62999,56852.928,1914,1913,2208,880,910,812,37,698,239,9565,17348.806,18968.251,13050.39,15600.13,11746.735,1198,861,942,369,242,299,193,121,186
BT_0659,1882,2862,2245.999,930,629,715,179,279,165,1338,698,1032.006,870,436,214,364,798,417,651,626,1338,1995,1920,2213,774,1393,1306,88,127,233,20,164,157,1203,1217,1176,6085.307,5309,4554,985,930.172,851.505,192,140,90,322,220,160
BT_0660,1112,1471.041,1384,774,640,508,18,74,38,172,95,175,86,23,16,91,40,33,346,486,696,530,331,426,75,299,182,13,17,78,13,78,7,664,579,553,1286.947,1183,897,236,284.828,285.495,32,0,9,52,1,25
BT_0661,1886.003,2450.812,1815,243,306,120,72,108,153,314,419,256,700,63,93,874,73,175,824,615,1549.961,811,493,383,495,324,720,107,49,85,0,132,21,964,1000,827,833,562,498,2355,3522,1811,96,47,110,53,20,80
BT_0662,2751,3930.167,3547.986,55,27,26,78,132,106,54,39,61,459,106,50,1730,201,119,1372,923,4189,100,109,116,367,401,905,109,84,67,46,198,137,1020,1522,1202,390,207,161,1490,2299.944,1392,135,100,143,197,85,177
BT_0663,2,8,0,0,0,2,0,0,0,0,1,0,3.147,0,0,0,0,0,0,1,0,3,0,0,0,0,7,0,0,0,0,0,0,0,9,4,8,2,7,35,17.056,57.123,0,0,0,1,0,0
BT_0664,31,57,23,17,11,0,22,34,53,6.283,15,6,264.287,29,78,704.388,105,40,12,8,19,20,5,17,74.38,29,89,9,0,51,12,51.427,6,5,33,14,47,48,35,96.552,259.135,111.63,98,63,33,81,75,51
BT_0665,16,27,25,2,8,8,33,16,13,5.717,5,6,88.567,20,31,189.612,103,55,21,0,19,16,13,6,8.62,6,28,8,17,16,0,9.573,0,16,11,10,28,14,25,46.448,158.865,103.247,65,64,71,26,7,19
BT_0666,19,32,18,3,0,3,0,0,0,6,1,2.001,29,0,0,6.934,0,0,5,11,13,9,3,0,4,17,51,0,0,0,0,0,8,13,4,14,16.487,21,7,58,45,58,0,0,0,0,0,0
BT_0667,6,20,6,8,7,1,9,0,0,7,2,11.999,6,4,0,4.066,0,0,3,4,7,5,5.33,5.775,12,11,30,0,0,0,0,0,5,8,13,9,25.513,12,27,10,22,0,10,0,0,2.993,0,0
BT_0668,24,54,36,9,25,13,0,23,0,37,39,33,32,0,0,14,11,9,33,37,34,30,30.67,8.225,66,13,49,26,7,9,0,33,10,38,30,32,62,64,66,53,96,138,0,6,8,17.007,7,0
BT_0669,632.906,840.171,822.104,132.696,100,148,24,71,14,205.723,239.811,222.248,409.815,152.725,93,46,348.949,283.948,167,361,529.555,454.841,485.775,369,221.677,338.873,641.601,49,43,53,41,70,55,321.582,673.716,618.601,674.278,636.926,538.534,442.882,670.411,420.765,114,34,85,33,18,4
BT_0670,484.678,417.829,356,239.304,209,340,124,132,102,364.277,360.189,336.752,249.185,177.275,79,195,186.051,87.052,631,433,596.445,602.28,663.225,676,173.323,218.127,364.399,45,63,73,60,175,98,436.418,562.284,696.399,375.722,433.074,287.466,306.118,353.589,275.235,46,36,55,64,20,69
BT_0671,49.415,41,30,16,30,24,10,23,18,19,36,22.948,23,0,0,9,0,0,30,18,47.919,42,26,41,18,23,14,18,0,0,0,13,11,21,37,48,35,37,33,30,51,18,0,0,20,15,0,1
BT_0672,115,124,93,88,73,57,32,30,50,167,145,120.052,104,0,0,104,69,61,156,70,174.081,236,314,260,73,84,80,0,45,27,0,42,29,80,110,162,147,162,118,96,75,151,9,20,12,22,10,26
BT_0673,1185,1709,1430,913,676,815,73,82,11,780,764,842.002,213,96,140,36,130,62,561,677,892,1404,1256,1643,450,670,767,52,66,98,11,145,31,628,818,764,1719,1875,1422,614,489,530,22,9,34,32,38,25
BT_0674,2682,3155,2593,4575,4654,4265,285,367,263,2725,3736,3163,858,280,172,105,132,249,1372,2173,2886,8018,4833,5130,1361,1189,2007,370,248,462,50,507,116,2845,3348,3096,4792,4638.044,3396,3728,4951,3157,151,113,125,146,76,96
BT_0675,4706.995,5409.619,4755.185,1367,1060,1055,177,157,142,2205.987,2426.816,2099,251,54,20,152,226,139,6562,4736,7265,2975,2901,2406,158,275,372,24,148,121,33,210,60,4105,6020,6512.193,2146,2346,1714,275,325,354,40,95,45,132,28,54
BT_0676,1764,2024,1563.001,600,478,609,338,475,348,1881,1943.262,1685.165,732,262,304,453,424,253,1702,1117,2384,1274,1048,1163,659,779,571,166,186,309,118,381,263,1147,1830,1990.785,1132.889,1270,962,871,842,746,191,82,71,292,132,173
BT_0677,6527.509,12745.886,4476.266,223,152,191,89,160,125,202,97,160,34,0,0,203,5,9,1779,794,2395,309,301,242,113,132,77,53,55,143,34,118,77,395,805.62,577,739.974,643,442,21,25,71,16,20,16,150,83,88
BT_0678,98,105.981,79.993,15068.047,15418.701,13203.33,1230,1257,1636,8026.694,9295.158,9557.108,1749.86,251,293,1192.78,365,436,11,6,14,3873.025,1189.51,2362.218,5228,5731.924,9581.863,357,451,834,483,3186.011,1475.241,37,31,20,612.744,463.667,469,6521.425,6931.558,5481.777,263,217,270,985,498,570.979
BT_0679,209.161,241.631,166.176,16738.243,14753.946,14883.752,3040.68,3434.295,3274,14839.748,13952.053,13881.569,3433.038,699,794.129,3823.564,1746.952,2137.207,52,30,28,6128.682,4997.016,5677.093,1521.619,1593.883,3011.924,1722.821,1737.851,2268.999,864,4281.989,1995.759,27,42,50,968.352,923.336,816.269,2051.189,2339.623,1750.592,770.519,371,598.481,1627.863,727.715,1054.02
BT_0680,2018.839,2324.388,1752.831,163081.71,127923.762,163913.44,39738.32,42814.705,40044,244450.907,208004.196,170840.007,26144.102,7698,8112.871,22950.656,12673.048,15499.793,357,184,300,87930.674,96191.474,93350.686,35773.381,37062.193,34177.212,24380.179,29696.149,33274.001,8418,37431,15829,204,303,270,15218.904,12217.997,10986.731,15735.385,8212.819,7294.952,6033.481,5512,5154.519,8976.137,4415.285,5942.001
BT_0681,383.641,395.053,344.935,245.561,249,146,14.379,8,0,188.001,135,149.08,29,15,0,24,57.742,16,347.623,346.129,418.109,201.053,127,172.08,8,5,16.011,14,19,0,0,11,22,571.168,477.329,431.305,270.449,291,244.125,11,54.513,53,0,0,0,15,2,10
BT_0682,1553.364,1797.947,1795.065,498.439,372,385,18.621,4,48,382.679,373,552.92,357,115,58,12,21.258,74,427.377,599.871,1310.891,1251.947,799,991.92,479,673,827.989,0,16,33,0,51,16,832.832,1157.671,1153.695,1826.24,1380,1074.875,873,900.487,532,0,12,9,5,8,0
BT_0683,2819,3053,2329.981,192,116,176,298,292,136,953,752,663,2928,1360,814,399,2323,1622,1899,1812,3193,371,443,472,531,556,1045,141,173,171,88,323,148,2409,3347,3401,1142,1200,895,928,1271,714,197,159,75,236,179,171
BT_0684,2166,2832,2077,710,470,708,118,210,233,731,667,773,113,32,92,101,41,84,1500,1873.115,2117,1304,894,1076,104,57,91,57,84,185,68,451,231,1248,1596,1515,1208,1066,917,119,182,48,58,26,62,127,30,129
BT_0685,10934,15162.33,10489.034,12729,10540,16309,211,333,312,12506,15342,15788.437,339,172,143,111,468,201,8195,10286,12535.93,17763.158,13107,16040,729,928,1018,144,112,260,51,342,243,10197,14258.968,14176,16452.914,20901.993,16462,476,399,445,81,37,22,38,16,37
